初始,代码,名称,最新,涨幅%,涨跌,总量,现量,买入价,卖出价,涨速%,换手%,金额,市盈率, 所属行业,最高,最低,开盘,昨收,振幅%,量比,委比%,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅%,6日涨幅%,3日换手%,6日换手%,自选时间,自选价格,自选收益,连涨天数,本月涨幅%,今年涨幅%,近一月涨幅%,近一年涨幅%,昨日涨幅%,昨成交量,昨成交额,昨量比,昨换手%,实体涨幅%,5日涨幅%,本月涨幅%,近一月涨幅%,5日换手率%,10日换手率%,连涨天数,总市值,流通市值,人均持股数(最新公告),市盈率(动),市盈率(TTM),市净率,市销率,股息率TTM%,每股收益(期末股本),每股收益(TTM),加权净资产收益率%,总资产收益率%,营业总收入同比%,归属净利润同比%,扣非净利润同比%,现金流量比例%,销售毛利率%,总负债,资产负债比率%,股利支付率%,竞价涨幅%,竞价换手率%,竞价实际换手率%,竞价量,竞价金额,未匹配量,未匹配金额,竞昨量比,竞昨成交比%,首次涨停时间,封单额,最终涨停时间,封单额,封单量,昨封单额,昨封单量,封成比%,昨封成比%,封流比%,涨停开板次数,今年累计涨停天数,几天几板,主力净流入,主力净比,3日主力净流入
117,603933,睿能科技,24.44,5.03,1.17,23.3万,3087,24.43,24.44,-0.04,11.20,5.60亿,93.36, 其他电子Ⅱ,24.50,23.28,24.20,23.27,5.24,2.87,-74.58,-2139,24.11,9.20万,14.1万,0.65,173,159,3.84,2.075亿,50.72亿,2.075亿,50.72亿,10.79,2.69,18.19,30.69,2026/04/16,24.95,-2.04%,2,9.60,-6.22,9.60,58.80,10.02,8.04万,1.86亿,—,—,0.99,5.39,9.60,9.60,25.74,60.56,2,50.72亿,50.72亿,1.07万,93.36,296.63,3.84,2.39,0.25,0.196,0.082,3.11,1.79,12.95,-32.73,-30.91,0.01,22.90,11.4亿,45.64,—,4.00,0.2547,0.6312,5286,1279万,528,128万,2.09,6.57,—,—,—,—,—,6449万,2.77万,—,34.46,—,0,4,昨日首板,87.6万,0.04,4527万
118,002237,恒邦股份,16.61,-2.06,-0.35,28.6万,2080,16.61,16.62,-0.18,2.40,4.75亿,37.25, 贵金属,16.95,16.37,16.82,16.96,3.42,0.62,-79.35,-3073,16.63,16.4万,12.2万,1.35,72,243,1.79,14.30亿,237.5亿,11.92亿,198.1亿,0.85,-10.12,8.54,21.73,2026/04/16,16.51,0.61%,-1,11.48,23.77,9.56,52.81,6.60,45.0万,7.49亿,—,—,-1.25,-3.04,11.48,9.56,17.09,44.22,-1,237.5亿,198.1亿,1.41万,37.25,37.25,1.79,0.21,0.81,0.540,0.446,6.12,2.03,48.28,15.55,28.30,-0.10,2.03,234亿,64.00,—,-0.83,0.0304,0.0451,3626,610万,212,35.66万,2.09,0.81,—,—,—,—,—,—,—,—,—,—,0,3,—,-4799万,-0.36,-8265万
119,001203,大中矿业,52.31,1.97,1.01,46.1万,2386,52.31,52.32,0.27,3.53,24.19亿,101.28, 冶钢原料,54.65,51.08,52.00,51.30,6.96,1.60,36.94,287,52.51,20.2万,25.8万,0.78,385,154,11.47,15.33亿,802.0亿,13.06亿,683.2亿,10.66,15.73,7.45,14.53,2026/04/16,46.39,12.76%,2,31.00,70.67,32.16,563.83,9.99,32.1万,15.91亿,—,—,0.60,16.84,31.00,32.16,12.52,23.68,2,802.0亿,683.2亿,2.87万,101.28,117.37,11.47,20.61,0.37,0.390,0.446,9.08,3.66,1.60,-10.28,-8.65,0.19,46.86,104亿,61.06,—,1.36,0.0291,0.0711,3797,1974万,826,430万,13.61,1.18,—,—,—,—,—,5323万,1.04万,—,3.24,—,0,7,昨日首板,-1.29亿,-0.46,-4741万
120,603322,超讯通信,32.50,1.06,0.34,6.26万,1283,32.50,32.52,-0.15,3.98,2.03亿,64.16, 通信服务,32.69,32.07,32.50,32.16,1.93,0.59,12.71,76,32.46,2.87万,3.40万,0.84,82,9,17.78,1.576亿,51.22亿,1.576亿,51.22亿,0.93,-9.45,16.92,37.78,2026/04/16,36.26,-10.37%,1,6.38,-15.28,3.67,-15.89,-1.71,8.27万,2.69亿,—,—,0.00,-7.28,6.38,3.67,31.29,92.53,1,51.22亿,51.22亿,4075,64.16,-187.50,17.78,2.08,—,0.380,-0.173,23.19,2.45,79.63,135.48,124.47,0.05,8.55,19.1亿,85.56,—,1.06,0.0209,0.0263,330,107万,22,7.15万,0.46,0.40,—,—,—,—,—,—,—,—,—,—,0,1,—,-132万,-0.03,-5719万
121,002595,豪迈科技,87.45,-2.95,-2.66,5.83万,429,87.45,87.46,0.00,0.73,5.13亿,29.23, 专用设备,89.70,85.60,88.00,90.11,4.55,1.47,-52.38,-264,87.92,3.13万,2.71万,1.16,23,21,5.82,8.000亿,699.6亿,7.945亿,694.8亿,0.01,-4.77,1.56,3.22,2026/04/16,89.02,-1.76%,-1,10.44,3.48,8.62,60.78,2.91,3.97万,3.55亿,—,—,-0.63,-3.75,10.44,8.62,2.43,6.07,-1,699.6亿,694.8亿,4.01万,29.23,29.23,5.82,6.31,1.14,3.001,2.992,21.80,18.11,25.70,18.99,20.16,0.44,33.56,27.3亿,18.49,—,-2.34,0.0054,0.0110,429,378万,3,2.64万,5.64,1.08,—,—,—,—,—,—,—,—,—,—,0,1,—,-5446万,-0.16,-4676万
122,002940,昂利康,33.08,-3.19,-1.09,11.6万,1687,33.08,33.09,-0.03,6.26,3.86亿,64.42, 化学制药,34.28,32.88,33.95,34.17,4.10,0.48,36.82,574,33.27,6.42万,5.19万,1.24,884,267,4.24,2.017亿,66.73亿,1.853亿,61.29亿,-8.95,-16.84,25.34,71.91,2026/04/16,35.60,-7.08%,-4,4.32,-1.31,-5.16,165.49,-3.34,15.4万,5.32亿,—,—,-2.56,-15.61,4.32,-5.16,58.37,158.08,-4,66.73亿,61.29亿,6493,64.42,61.74,4.24,4.53,0.37,0.390,0.536,4.99,3.41,-5.92,55.59,39.70,0.26,38.78,11.0亿,37.51,—,-0.64,0.0360,0.0611,667,226万,8,2.72万,0.63,0.43,—,—,—,—,—,—,—,—,—,—,0,3,—,-2281万,-0.63,-2.15亿
123,603920,世运电路,52.65,-3.77,-2.06,36.7万,2733,52.65,52.66,0.08,5.09,19.30亿,45.52, 元件,54.90,51.69,54.90,54.71,5.87,0.89,3.07,34,52.59,20.5万,16.2万,1.26,67,115,5.87,7.206亿,379.4亿,7.206亿,379.4亿,-6.23,-15.83,16.09,33.70,2026/04/16,58.86,-10.55%,-1,6.06,8.76,1.82,128.22,3.03,47.7万,25.61亿,0.89,5.09,-4.10,-10.37,6.06,1.82,25.79,71.04,-1,379.4亿,379.4亿,1.07万,45.52,46.44,5.87,6.99,1.14,0.870,1.134,9.47,6.42,10.96,29.46,15.26,0.28,22.79,30.1亿,30.48,63.21,0.35,0.0194,0.0364,1395,766万,100,55.15万,0.06,0.29,—,—,—,—,—,—,—,—,—,—,0,4,—,-3.39亿,-1.68,-6.35亿
124,603527,众源新材,12.96,4.35,0.54,29.5万,2765,12.95,12.96,0.08,9.29,3.77亿,30.78, 工业金属,13.30,12.26,12.36,12.42,8.37,1.67,-35.84,-954,12.80,13.9万,15.6万,0.89,591,592,1.99,3.170亿,41.08亿,3.170亿,41.08亿,7.02,7.82,21.74,37.07,2026/04/14,11.90,8.91%,4,16.13,16.86,16.23,47.95,1.55,16.4万,2.02亿,—,—,4.85,11.82,16.13,16.23,32.14,58.48,4,41.08亿,41.08亿,1.37万,30.78,30.27,1.99,0.39,1.23,0.320,0.428,4.89,2.15,16.29,9.19,-131.32,-0.05,1.21,28.3亿,56.31,—,-0.48,0.0174,0.0282,552,68.23万,76,9.39万,1.76,0.34,—,—,—,—,—,—,—,—,—,—,0,3,—,1122万,0.44,4361万
125,600664,哈药股份,3.58,-2.72,-0.10,100万,1.84万,3.58,3.59,0.00,3.98,3.62亿,20.58, 化学制药,3.67,3.58,3.66,3.68,2.45,0.76,8.34,9363,3.61,72.1万,28.1万,2.56,2.60万,1.23万,1.59,25.19亿,90.16亿,25.19亿,90.16亿,-2.45,-8.91,12.23,30.00,2026/04/14,4.04,-11.39%,-2,1.70,3.77,-0.28,5.29,-0.27,96.1万,3.52亿,—,—,-2.19,-7.73,1.70,-0.28,22.80,78.35,-2,90.16亿,90.16亿,2.57万,20.58,20.07,1.59,0.57,—,0.130,0.178,5.96,2.38,-1.92,-35.35,-38.56,-0.05,26.02,76.7亿,54.49,—,-0.54,0.0201,0.0377,5068,185万,2278,83.37万,0.54,0.53,—,—,—,—,—,—,—,—,—,—,0,3,—,-3200万,-0.66,-5808万
126,600469,风神股份,6.39,0.16,0.01,21.9万,1604,6.39,6.40,-0.16,3.01,1.43亿,19.07, 汽车零部件,6.67,6.38,6.49,6.38,4.55,1.47,26.20,2007,6.52,12.6万,9.31万,1.36,486,474,1.23,8.900亿,56.87亿,7.295亿,46.61亿,-1.08,-8.45,6.69,13.21,2026/04/14,7.25,-11.86%,1,-2.59,-7.93,-5.05,22.88,-1.39,13.1万,8350万,—,—,-1.54,-8.84,-2.59,-5.05,11.58,21.08,1,56.87亿,46.61亿,3.39万,19.07,24.86,1.23,0.77,0.51,0.310,0.257,6.57,2.95,13.58,-18.91,-20.94,0.02,15.58,43.2亿,55.07,—,1.72,0.0399,0.0940,2913,189万,348,22.59万,6.39,2.22,—,—,—,—,—,—,—,—,—,—,0,1,—,-2627万,-1.33,-3050万
127,002885,京泉华,31.26,1.99,0.61,23.7万,2625,31.26,31.27,-0.10,10.28,7.43亿,88.38, 其他电子Ⅱ,32.00,30.77,31.21,30.65,4.01,0.89,-82.18,-1734,31.27,11.5万,12.3万,0.94,120,250,5.75,2.709亿,84.69亿,2.309亿,72.18亿,3.58,2.73,30.46,67.94,2026/04/14,27.05,15.56%,2,32.57,21.68,29.17,149.08,1.93,27.2万,8.35亿,—,—,0.16,0.58,32.57,29.17,50.82,119.78,2,84.69亿,72.18亿,4973,88.38,125.01,5.75,2.41,0.07,0.263,0.250,5.00,2.16,23.96,69.74,71.55,0.02,13.19,19.4亿,56.32,—,1.83,0.1237,0.1785,2857,892万,67,20.91万,1.38,1.05,—,—,—,—,—,—,—,—,—,—,0,4,—,5816万,1.16,1.48亿
128,002107,沃华医药,7.31,-3.05,-0.23,25.6万,1955,7.31,7.32,0.00,4.49,1.88亿,28.78, 中药Ⅱ,7.60,7.27,7.60,7.54,4.38,1.11,59.28,4613,7.34,16.0万,9.65万,1.66,435,94,6.24,5.772亿,42.19亿,5.714亿,41.77亿,-2.40,-3.56,13.42,24.69,2026/04/14,7.83,-6.64%,-1,13.16,20.03,8.30,74.05,0.94,21.6万,1.63亿,—,—,-3.82,-3.05,13.16,8.30,20.18,51.34,-1,42.19亿,41.77亿,1.61万,28.78,38.53,6.24,5.16,3.64,0.060,0.190,4.94,4.01,0.55,60.32,62.05,0.26,77.96,2.71亿,28.76,—,0.80,0.0233,0.0473,1329,101万,280,21.28万,0.24,0.61,—,—,—,—,—,—,—,—,—,—,0,2,—,-1816万,-0.88,-3876万
129,603171,税友股份,55.29,-0.56,-0.31,4.93万,554,55.29,55.30,0.00,1.21,2.73亿,152.58, IT服务Ⅱ,56.06,54.91,55.60,55.60,2.07,0.60,32.60,211,55.36,2.83万,2.09万,1.35,372,130,8.90,4.063亿,224.7亿,4.059亿,224.4亿,-0.45,-7.56,4.71,11.37,2026/04/14,54.78,0.93%,-1,10.43,0.29,8.97,26.29,4.67,7.52万,4.14亿,—,—,-0.56,-1.30,10.43,8.97,8.53,22.76,-1,224.7亿,224.4亿,2.82万,152.58,209.81,8.90,10.76,0.36,0.270,0.264,4.39,2.68,11.10,-4.74,-7.64,-0.17,59.19,15.5亿,37.98,—,0.00,0.0059,0.0231,239,133万,32,17.79万,0.71,0.32,—,—,—,—,—,—,—,—,—,—,0,4,—,-351万,-0.06,-5538万
130,603698,航天工程,43.97,10.01,4.00,48.5万,2071,43.97,—,0.00,9.05,20.76亿,108.85, 专用设备,43.97,40.24,40.77,39.97,9.33,1.36,100.00,1.57万,42.79,24.4万,24.1万,1.01,1.51万,0,6.79,5.360亿,235.7亿,5.360亿,235.7亿,9.22,-6.45,17.48,42.46,2026/04/14,35.94,22.34%,2,43.55,13.47,43.93,173.96,1.22,22.7万,9.07亿,—,—,7.85,2.02,43.55,43.93,31.74,87.21,2,235.7亿,235.7亿,7794,108.85,108.85,6.79,5.59,0.30,0.400,0.404,6.24,3.39,23.67,14.43,16.85,-0.05,19.26,43.1亿,46.41,—,2.00,0.0616,0.2043,3301,1346万,143,58.30万,2.83,1.45,09:54:09,6625万,13:25:33,6625万,1.51万,—,—,3.11,—,0.28,1,5,今日首板,3.86亿,5.43,4.53亿
131,603383,顶点软件,32.46,-1.55,-0.51,5.38万,639,32.45,32.46,0.03,2.62,1.76亿,37.41, 软件开发,33.38,32.40,32.86,32.97,2.97,0.85,8.49,85,32.80,3.09万,2.29万,1.35,386,104,4.44,2.054亿,66.67亿,2.054亿,66.67亿,-3.19,-3.91,7.17,18.03,2026/04/14,31.94,1.63%,-1,13.30,-10.11,11.74,-15.88,0.06,4.86万,1.61亿,—,—,-1.22,-2.84,13.30,11.74,13.23,30.77,-1,66.67亿,66.67亿,6960,37.41,37.41,4.44,11.46,2.46,0.870,0.868,11.92,9.60,-12.38,-8.14,-13.49,0.58,70.72,3.88亿,20.44,—,-0.33,0.0186,0.0319,382,126万,65,21.36万,1.28,0.79,—,—,—,—,—,—,—,—,—,—,0,1,—,-2728万,-0.70,-5550万
132,300857,协创数据,259.70,-4.44,-12.07,29.1万,5224,259.70,259.71,-0.01,8.45,76.37亿,77.20, 消费电子,270.00,258.79,267.55,271.77,4.12,0.82,60.22,989,262.84,16.1万,13.0万,1.24,1109,1,21.04,3.461亿,898.9亿,3.440亿,893.3亿,0.66,-0.41,30.09,59.78,2026/04/14,178.04,45.86%,-1,73.98,115.98,65.30,415.07,4.13,35.0万,94.87亿,—,—,-2.93,1.01,73.98,65.30,48.40,100.45,-1,898.9亿,893.3亿,1.08万,77.20,77.20,21.04,7.35,0.13,3.380,3.364,30.03,7.40,65.13,68.32,69.07,0.10,19.24,194亿,81.48,—,-1.55,0.1565,0.2492,5384,1.44亿,4,10.89万,1.08,1.54,—,—,—,—,—,—,—,—,—,—,0,1,—,-8.87亿,-1.58,-5.11亿
133,601778,晶科科技,6.50,-6.61,-0.46,587万,7.22万,6.49,6.50,0.15,16.44,38.35亿,48.97, 电力,6.88,6.34,6.80,6.96,7.76,0.77,19.75,1.29万,6.53,330万,257万,1.28,6151,2986,1.45,35.73亿,232.2亿,35.73亿,232.2亿,-6.34,-0.61,54.39,123.18,2026/04/14,6.03,7.79%,-2,32.92,74.73,30.52,150.00,-2.25,653万,45.41亿,—,—,-4.41,-9.60,32.92,30.52,99.99,216.42,-2,232.2亿,232.2亿,2.75万,48.97,50.45,1.45,5.80,0.42,0.100,0.129,2.21,0.85,-19.73,61.82,-14.95,0.35,42.93,261亿,61.66,—,-2.30,0.1611,0.2117,5.76万,3914万,1.05万,711万,0.17,0.88,—,—,—,—,—,—,—,—,—,—,0,4,—,-3.94亿,-2.23,-5.96亿
134,000026,飞亚达,18.13,0.22,0.04,13.3万,2758,18.12,18.13,0.00,3.65,2.40亿,84.25, 饰品,18.27,17.70,17.93,18.09,3.15,0.68,-4.28,-89,18.06,6.86万,6.45万,1.06,285,197,2.20,4.058亿,73.57亿,3.646亿,66.09亿,-0.38,4.20,10.96,30.60,2026/04/13,16.41,10.48%,2,30.24,10.68,28.86,85.76,1.80,12.0万,2.16亿,—,—,1.12,0.22,30.24,28.86,22.63,56.33,2,73.57亿,66.09亿,1.26万,84.25,84.25,2.20,2.10,0.66,0.215,0.215,2.60,2.26,-10.96,-60.37,-60.15,1.44,35.52,3.97亿,10.63,—,-0.88,0.0538,0.0973,1961,352万,842,151万,6.74,1.63,—,—,—,—,—,—,—,—,—,—,0,2,—,1294万,0.35,-2880万
135,600032,浙江新能,9.87,-4.17,-0.43,66.0万,9579,9.87,9.88,-0.10,2.74,6.59亿,29.03, 电力,10.47,9.84,10.40,10.30,6.12,0.67,10.46,1410,9.98,38.9万,27.1万,1.43,1710,1400,1.83,24.05亿,237.3亿,24.05亿,237.3亿,-9.20,-13.04,8.83,23.37,2026/04/13,9.79,0.82%,-3,-1.00,33.20,0.71,18.35,-2.00,59.7万,6.17亿,—,—,-5.10,-18.02,-1.00,0.71,16.71,40.95,-3,237.3亿,237.3亿,5.11万,29.03,44.28,1.83,4.84,0.53,0.255,0.223,4.81,1.45,-1.56,-4.74,-2.00,0.37,44.74,402亿,67.10,—,0.97,0.0105,0.0455,2534,264万,288,29.95万,0.72,0.42,—,—,—,—,—,—,—,—,—,—,0,5,—,-1.12亿,-2.04,-2.21亿
136,603800,洪田股份,51.92,6.48,3.16,11.6万,1095,51.90,51.92,0.14,5.57,5.86亿,129.70, 专用设备,52.04,46.99,47.00,48.76,10.36,1.19,39.12,209,50.61,4.77万,6.81万,0.70,13,2,12.53,2.080亿,108.0亿,2.080亿,108.0亿,0.82,5.89,15.11,29.05,2026/04/13,47.97,8.23%,1,36.20,6.46,32.62,91.59,-4.39,13.0万,6.42亿,—,—,10.47,8.05,36.20,32.62,25.17,43.90,1,108.0亿,108.0亿,1.02万,129.70,114.53,12.53,9.05,0.19,0.310,0.453,7.46,2.68,-16.99,-26.66,-22.13,0.05,25.17,17.2亿,62.79,—,-3.61,0.0558,0.1052,1160,545万,50,23.50万,2.21,0.89,—,—,—,—,—,—,—,—,—,—,0,1,—,-2478万,-0.43,2575万
137,002943,宇晶股份,68.81,8.43,5.35,15.5万,935,68.81,68.82,-0.06,10.61,10.35亿,469.31, 通用设备,69.12,63.48,63.74,63.46,8.89,0.84,-21.43,-70,66.95,6.94万,8.51万,0.82,37,132,15.83,2.055亿,141.4亿,1.456亿,100.2亿,12.86,21.42,32.58,74.16,2026/04/13,51.26,34.24%,5,49.62,73.76,46.90,204.74,1.37,14.7万,9.13亿,—,—,7.95,21.70,49.62,46.90,63.10,125.59,5,141.4亿,100.2亿,1.35万,469.31,-36.82,15.83,17.45,—,0.081,-1.869,1.82,0.57,-24.03,-28.99,-61.19,0.17,24.05,19.0亿,67.94,—,0.44,0.0472,0.0522,687,438万,1,6374,0.76,0.47,—,—,—,—,—,—,—,—,—,—,0,7,—,8026万,0.89,2.37亿
138,603350,安乃达,34.91,-0.71,-0.25,1.26万,88,34.88,34.91,0.20,2.85,4355万,35.35, 电机Ⅱ,35.10,34.10,35.10,35.16,2.84,1.07,-14.14,-74,34.65,5958,6609,0.90,6,255,3.04,1.165亿,40.67亿,4412万,15.40亿,-1.77,-3.22,7.28,16.12,2026/04/13,38.14,-8.47%,-1,-0.40,-8.35,-1.58,9.44,0.89,8552,3013万,—,—,-0.54,-0.96,-0.40,-1.58,11.78,32.97,-1,40.67亿,15.40亿,3960,35.35,35.35,3.04,2.03,1.72,0.990,0.987,8.67,4.96,31.14,4.62,5.79,0.00,15.53,10.8亿,44.59,—,-0.17,0.0508,0.0656,224,78.62万,91,31.94万,112.00,2.62,—,—,—,—,—,—,—,—,—,—,0,1,—,-433万,-0.36,-210万
139,002297,博云新材,24.50,5.56,1.29,195万,2.79万,24.49,24.50,-0.77,33.99,46.79亿,227.01, 航空装备Ⅱ,25.40,22.50,23.44,23.21,12.49,1.01,-82.72,-3773,24.02,98.0万,96.8万,1.01,34,3998,6.60,5.731亿,140.4亿,5.731亿,140.4亿,19.34,20.75,106.51,201.71,2026/04/13,12.08,102.81%,3,124.15,104.68,122.73,284.62,2.79,214万,48.68亿,—,—,4.52,10.16,124.15,122.73,163.80,312.29,3,140.4亿,140.4亿,8661,227.01,227.01,6.60,15.42,—,0.108,0.108,2.97,1.99,27.77,192.00,140.91,0.12,28.29,9.48亿,30.30,—,0.99,0.6593,0.8515,3.78万,8857万,41,9.70万,0.96,1.77,—,—,—,—,—,—,—,—,—,—,0,8,—,-2003万,-0.18,-9662万
140,000612,焦作万方,13.29,-0.97,-0.13,41.1万,2114,13.29,13.30,-0.08,3.45,5.48亿,14.79, 工业金属,13.65,13.13,13.30,13.42,3.87,1.06,4.85,477,13.32,24.1万,17.0万,1.42,1622,2650,2.20,11.92亿,158.4亿,11.92亿,158.4亿,0.91,-1.48,10.89,19.72,2026/04/13,13.51,-1.63%,-1,11.77,20.60,11.12,103.21,4.19,51.2万,6.77亿,—,—,-0.08,1.22,11.77,11.12,16.13,33.22,-1,158.4亿,158.4亿,1.54万,14.79,14.79,2.20,2.44,2.45,0.898,0.898,16.00,12.76,0.46,81.95,74.88,0.73,22.43,15.3亿,17.59,—,-0.89,0.0285,0.0378,3398,452万,79,10.51万,0.80,0.66,—,—,—,—,—,—,—,—,—,—,0,2,—,-2169万,-0.18,3244万
141,600654,中安科,3.92,-3.45,-0.14,233万,5.56万,3.92,3.93,-0.25,10.05,9.18亿,212.99, 软件开发,4.06,3.89,4.06,4.06,4.19,1.36,48.89,5.25万,3.94,124万,109万,1.15,2356,3272,7.24,28.78亿,112.8亿,23.17亿,90.84亿,3.70,-4.62,26.00,46.95,2026/04/13,4.49,-12.69%,-1,17.01,3.98,16.32,35.17,10.03,220万,8.82亿,—,—,-3.45,0.77,17.01,16.32,38.13,95.79,-1,112.8亿,90.84亿,2.03万,212.99,212.99,7.24,3.67,—,0.019,0.018,3.46,1.43,0.63,164.41,-33.69,0.06,14.95,20.8亿,57.18,—,0.00,0.4317,0.6681,10.0万,4062万,2878,117万,2.23,4.54,—,—,—,—,—,8349万,20.6万,—,9.33,—,0,5,昨日首板,-1.06亿,-1.80,1.14亿
142,002515,金字火腿,6.52,3.16,0.20,98.3万,1.06万,6.51,6.52,0.00,8.12,6.17亿,268.91, 食品加工,6.54,6.07,6.25,6.32,7.44,1.51,-74.92,-1.50万,6.27,44.5万,53.8万,0.83,593,5690,3.02,12.11亿,78.93亿,12.11亿,78.93亿,4.99,-0.61,16.80,35.04,2026/04/13,6.24,4.49%,2,17.48,7.06,15.40,22.33,2.76,65.0万,3.98亿,—,—,4.32,-0.76,17.48,15.40,26.91,66.43,2,78.93亿,78.93亿,2.62万,268.91,145.26,3.02,25.65,0.46,0.018,0.045,0.84,0.80,-13.97,-26.25,5.45,-1.05,23.85,5775万,2.16,—,-1.11,0.0431,0.0478,5214,326万,340,21.27万,4.40,0.80,—,—,—,—,—,—,—,—,—,—,0,1,—,8210万,1.15,1.07亿
143,000968,蓝焰控股,9.15,0.33,0.03,43.8万,6730,9.15,9.16,-0.11,4.53,4.04亿,24.77, 油气开采Ⅱ,9.36,9.09,9.32,9.12,2.96,0.74,-2.23,-330,9.22,22.2万,21.6万,1.03,3001,527,1.43,9.675亿,88.53亿,9.675亿,88.53亿,3.27,3.74,14.72,35.10,2026/04/13,10.18,-10.12%,4,-10.99,38.43,-7.76,49.02,1.00,43.9万,4.00亿,—,—,-1.82,-1.08,-10.99,-7.76,25.60,59.80,4,88.53亿,88.53亿,2.24万,24.77,22.09,1.43,4.26,0.33,0.280,0.414,4.41,2.29,-10.38,-11.16,-14.14,0.56,31.24,49.5亿,44.46,—,2.19,0.0445,0.1030,4306,401万,109,10.14万,0.99,0.98,—,—,—,—,—,—,—,—,—,—,0,8,—,-416万,-0.11,-6969万
144,002467,二六三,6.82,1.04,0.07,88.2万,1.23万,6.82,6.83,0.00,6.45,5.99亿,-32.98, 通信服务,6.91,6.66,6.74,6.75,3.70,0.91,1.53,833,6.79,42.2万,46.0万,0.92,1.10万,3362,5.91,13.75亿,93.80亿,13.67亿,93.22亿,0.44,-7.59,17.60,41.78,2026/04/13,7.87,-13.34%,2,-7.46,11.99,-8.58,32.68,1.96,73.7万,4.96亿,—,—,1.19,-4.48,-7.46,-8.58,31.33,90.62,2,93.80亿,93.22亿,9152,-32.98,-32.98,5.91,11.77,—,-0.210,-0.207,-16.34,-12.34,-8.12,-515.01,-610.21,0.28,42.42,4.09亿,19.72,—,-0.15,0.0403,0.0457,5503,371万,374,25.21万,0.70,0.75,—,—,—,—,—,—,—,—,—,—,0,5,—,-400万,-0.05,-6343万
145,600982,宁波能源,6.06,2.36,0.14,86.6万,9672,6.05,6.06,0.00,7.75,5.32亿,21.02, 电力,6.32,6.04,6.04,5.92,4.73,1.04,-28.41,-8543,6.15,44.6万,42.0万,1.06,4698,2661,1.54,11.18亿,67.73亿,11.18亿,67.73亿,1.17,-1.14,18.45,44.85,2026/04/13,5.79,4.66%,1,1.68,39.63,9.78,38.04,-1.17,54.8万,3.24亿,—,—,0.33,-4.57,1.68,9.78,32.01,85.81,1,67.73亿,67.73亿,2.10万,21.02,20.56,1.54,1.76,2.48,0.209,0.295,5.33,1.88,-12.70,22.53,46.21,0.11,19.35,101亿,61.25,—,2.03,0.0729,0.1484,8143,492万,470,28.39万,6.21,1.49,—,—,—,—,—,—,—,—,—,—,0,4,—,-510万,-0.15,-2860万
146,603088,宁波精达,11.94,-2.93,-0.36,18.0万,2124,11.94,11.95,0.00,4.12,2.17亿,49.94, 通用设备,12.34,11.93,12.30,12.30,3.33,0.88,51.34,2471,12.05,11.1万,6.95万,1.59,236,342,5.26,5.024亿,59.99亿,4.379亿,52.28亿,-11.23,-13.91,16.16,27.64,2026/04/12,13.44,-11.16%,-3,0.59,15.59,-1.97,27.84,-4.95,38.1万,4.62亿,0.88,4.12,-2.93,-11.95,0.59,-1.97,22.95,56.75,-3,59.99亿,52.28亿,1.33万,49.94,49.94,5.26,6.81,1.42,0.250,0.239,12.23,7.40,7.75,-27.03,-26.10,0.27,35.40,8.04亿,40.82,71.10,0.00,0.0173,0.0336,758,93.23万,7,8610,0.20,0.20,—,—,—,—,—,—,—,—,—,—,0,3,—,-975万,-0.36,-678万
147,603200,上海洗霸,62.03,0.13,0.08,4.74万,480,62.03,62.04,0.02,2.70,2.96亿,68.34, 环境治理,62.99,61.36,61.36,61.95,2.63,0.57,54.13,262,62.33,2.57万,2.17万,1.18,94,9,10.03,1.755亿,108.9亿,1.755亿,108.9亿,-2.19,-9.92,11.52,26.25,2026/04/12,61.71,0.52%,2,8.54,-12.81,5.10,71.69,1.64,8.34万,5.04亿,0.57,2.70,1.09,-4.72,8.54,5.10,19.63,56.24,2,108.9亿,108.9亿,4436,68.34,95.47,10.03,22.24,0.15,0.681,0.650,11.77,6.69,-5.52,146.80,-29.86,0.08,33.49,6.62亿,35.93,5.85,-0.95,0.0267,0.0546,469,288万,62,38.04万,0.27,0.56,—,—,—,—,—,—,—,—,—,—,0,2,—,288万,0.05,-9575万
148,002363,隆基机械,8.40,1.33,0.11,7.27万,1516,8.39,8.40,0.00,1.75,6079万,63.35, 汽车零部件,8.40,8.25,8.28,8.29,1.81,0.81,1.38,74,8.36,3.49万,3.78万,0.92,284,390,1.64,4.169亿,35.02亿,4.158亿,34.92亿,1.82,-1.52,5.67,12.49,2026/04/12,8.67,-3.11%,2,5.40,-16.83,4.61,32.28,2.47,8.75万,7227万,0.81,1.75,1.45,2.07,5.40,4.61,9.45,22.60,2,35.02亿,34.92亿,1.16万,63.35,67.75,1.64,1.61,0.72,0.100,0.124,1.95,1.16,-12.13,12.82,14.39,0.30,9.51,9.36亿,30.10,49.80,-0.12,0.0016,0.0028,67,5.55万,17,1.41万,0.15,0.08,—,—,—,—,—,—,—,—,—,—,0,1,—,-83.3万,-0.04,-356万
