日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-11-05,09:25:00,股票,宏发股份(600885.XSHG),买,市价单,3600股,29.99,107964,3600股,-,0,32.39,全部成交,2025-11-05 09:30:00
2025-11-06,09:25:00,股票,云天化(600096.XSHG),买,市价单,3800股,29.44,111872,3800股,-,0,33.56,全部成交,2025-11-06 09:30:00
2025-11-06,09:25:00,股票,中国西电(601179.XSHG),买,市价单,12700股,8.97,113919,12700股,-,0,34.18,全部成交,2025-11-06 09:30:00
2025-11-07,09:25:00,股票,宏发股份(600885.XSHG),卖,市价单,-3600股,33.6,-120960,-3600股,-,12996,157.25,全部成交,2025-11-07 09:30:00
2025-11-10,09:25:00,股票,云天化(600096.XSHG),卖,市价单,-3800股,35.67,-135546,-3800股,-,23674,176.21,全部成交,2025-11-10 09:30:00
2025-11-10,09:25:00,股票,锦江酒店(600754.XSHG),买,市价单,5300股,22.98,121794,5300股,-,0,36.54,全部成交,2025-11-10 09:30:00
2025-11-11,09:25:00,股票,中国西电(601179.XSHG),卖,市价单,-12700股,10.5,-133350,-12700股,-,19431,173.36,全部成交,2025-11-11 09:30:00
2025-11-11,09:25:00,股票,锦江酒店(600754.XSHG),卖,市价单,-0股,--,0,-5300股,-,-0,0,已撤单,2025-11-11 09:25:00
2025-11-11,09:25:00,股票,锦江酒店(600754.XSHG),卖,市价单,-5300股,25.46,-134938,-5300股,-,13144,175.42,全部成交,2025-11-11 09:30:00
2025-11-11,09:25:00,股票,以岭药业(002603.XSHE),买,市价单,6900股,19,131100,6900股,-,0,39.33,全部成交,2025-11-11 09:30:00
2025-11-12,09:25:00,股票,以岭药业(002603.XSHE),卖,市价单,-6900股,20.58,-142002,-6900股,-,10902,184.6,全部成交,2025-11-12 09:30:00
2025-11-12,09:25:00,股票,安井食品(603345.XSHG),买,市价单,1700股,79,134300,1700股,-,0,40.29,全部成交,2025-11-12 09:30:00
2025-11-12,09:25:00,股票,老板电器(002508.XSHE),买,市价单,7000股,19.88,139160,7000股,-,0,41.75,全部成交,2025-11-12 09:30:00
