日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-05-30,10:35:00,基金,纳指ETF(513100.XSHG),卖,市价单,-18900股,1.558,-29446.2,-18900股,-,-151.2,5,全部成交,2025-05-30 10:35:00
2025-05-30,10:35:05,基金,恒生股息(513690.XSHG),买,市价单,30400股,0.973,29579.2,30400股,-,0,5,全部成交,2025-05-30 10:35:05
2025-06-17,14:00:00,股票,贝肯能源(002828.XSHE),卖,市价单,-1400股,12.17,-17038,-1400股,-,4606,13.52,全部成交,2025-06-17 14:00:00
2025-06-18,10:35:00,基金,恒生股息(513690.XSHG),卖,市价单,-30400股,1.018,-30947.2,-30400股,-,1368,5,全部成交,2025-06-18 10:35:00
2025-06-18,10:35:05,基金,南方原油(501018.XSHG),买,市价单,24700股,1.316,32505.2,24700股,-,0,5,全部成交,2025-06-18 10:35:05
2025-06-20,10:35:00,基金,南方原油(501018.XSHG),卖,市价单,-24700股,1.416,-34975.2,-24700股,-,2470,5,全部成交,2025-06-20 10:35:00
2025-06-20,10:35:05,基金,恒生股息(513690.XSHG),买,市价单,33300股,1.006,33499.8,33300股,-,0,5,全部成交,2025-06-20 10:35:05
2025-06-24,09:40:20,股票,名雕股份(002830.XSHE),买,市价单,500股,14.52,7260,500股,-,0,5,全部成交,2025-06-24 09:40:20
2025-06-24,09:40:20,股票,天元股份(003003.XSHE),买,市价单,700股,11.22,7854,700股,-,0,5,全部成交,2025-06-24 09:40:20
2025-06-24,09:40:20,股票,凤形股份(002760.XSHE),买,市价单,400股,18.32,7328,400股,-,0,5,全部成交,2025-06-24 09:40:20
2025-06-24,10:35:00,基金,恒生股息(513690.XSHG),卖,市价单,-33300股,1.022,-34032.6,-33300股,-,532.8,5,全部成交,2025-06-24 10:35:00
2025-06-24,10:35:05,基金,金融科技ETF(159851.XSHE),买,市价单,22000股,1.552,34144,22000股,-,0,5,全部成交,2025-06-24 10:35:05
2025-06-30,10:35:00,基金,金融科技ETF(159851.XSHE),卖,市价单,-22000股,1.676,-36872,-22000股,-,2728,5,全部成交,2025-06-30 10:35:00
2025-06-30,10:35:05,基金,南方原油(501018.XSHG),买,市价单,29500股,1.22,35990,29500股,-,0,5,全部成交,2025-06-30 10:35:05
2025-07-01,09:40:00,股票,凤形股份(002760.XSHE),卖,市价单,-400股,19.34,-7736,-400股,-,408,8.87,全部成交,2025-07-01 09:40:00
2025-07-01,10:35:00,基金,南方原油(501018.XSHG),卖,市价单,-29500股,1.204,-35518,-29500股,-,-472,5,全部成交,2025-07-01 10:35:00
2025-07-01,10:35:05,基金,创业板ETF(159915.XSHE),买,市价单,16800股,2.126,35716.8,16800股,-,0,5,全部成交,2025-07-01 10:35:05
2025-07-02,10:35:00,基金,创业板ETF(159915.XSHE),卖,市价单,-16800股,2.108,-35414.4,-16800股,-,-302.4,5,全部成交,2025-07-02 10:35:00
